"specie" "km" "X" "Y"
"Cthous" 54.3 338047.546 7715478.904
"Cthous" 55.3 337568.996 7714784.807
"Cthous" 56 337431.418 7714326.782
"Cthous" 56.8 336856.248 7713572.935
"Cthous" 57 336856.248 7713572.935
"Cthous" 57 336856.248 7713572.935
"Cthous" 57.3 336872.742 7713080.161
"Cthous" 57.4 336872.742 7713080.161
"Cthous" 57.7 336872.742 7713080.161
"Cthous" 58.5 337170.841 7712190.412
"Cthous" 58.9 337077.546 7711722.711
"Cthous" 59.7 337259.706 7711262.417
"Cthous" 59.8 337258.199 7710838.955
"Cthous" 60 337258.199 7710838.955
"Cthous" 60.1 337258.199 7710838.955
"Cthous" 60.2 337258.199 7710838.955
"Cthous" 60.4 336902.465 7710465.524
"Cthous" 60.9 336544.012 7710143.727
"Cthous" 62 335904.546 7709355.949
"Cthous" 62 335904.546 7709355.949
"Cthous" 62 335904.546 7709355.949
"Cthous" 62.8 335865.057 7708360.781
"Cthous" 62.8 335865.057 7708360.781
"Cthous" 62.8 335865.057 7708360.781
"Cthous" 63 335865.057 7708360.781
"Cthous" 63 335865.057 7708360.781
"Cthous" 63 335865.057 7708360.781
"Cthous" 63 335865.057 7708360.781
"Cthous" 63 335865.057 7708360.781
"Cthous" 64.5 336888.004 7707396.119
"Cthous" 64.9 337378.731 7707264.265
"Cthous" 65 337378.731 7707264.265
"Cthous" 66.8 338371.719 7705737.41
"Cthous" 64.8 337378.731 7707264.265
"Cinsidiosus" 11.3 362027.38 7743790.48
"Cinsidiosus" 12 361757.886 7743467.65
"Cinsidiosus" 12.5 361587.072 7742919.964
"Cinsidiosus" 12.7 361583.038 7743003.659
"Cinsidiosus" 12.8 361503.025 7742513.116
"Cinsidiosus" 14 361361.168 7741502.483
"Cinsidiosus" 15 361188.732 7740537.917
"Cinsidiosus" 18.5 360095.425 7737331.298
"Cinsidiosus" 18.6 360072.368 7737276.478
"Cinsidiosus" 18.8 359798.014 7736950.003
"Cinsidiosus" 19 359798.014 7736950.003
"Cinsidiosus" 19 359807.148 7736928.107
"Cinsidiosus" 19 359798.014 7736950.003
"Cinsidiosus" 19.1 359798.014 7736950.003
"Cinsidiosus" 19.6 359484.702 7736462.277
"Cinsidiosus" 20 359234.941 7736142.526
"Cinsidiosus" 20 359240.188 7736117.035
"Cinsidiosus" 21.5 358930.073 7734636.447
"Cinsidiosus" 22 358932.742 7734178.036
"Cinsidiosus" 23 358548.886 7733232.456
"Cinsidiosus" 24 357844.96 7732565.08
"Cinsidiosus" 24.7 357747.584 7732031.009
